Source File,Lecture Topic,Subtopics
lec32.pdf,Interpretation and Analysis of Financial Statements,Introduction to Financial Statement Analysis; Comparative and Common Size Statement Calculation; Horizontal Analysis and Comparative Statement Preparation; Case Study: Shipping Corporation of India; Revenue and Expense Analysis for Financial Statements
lec16.pdf,Cash Flow Statement Analysis,Understanding operating activities in cash flow; Investing activities in cash flow statement; Financing activities in the cash flow statement; Unique items in cash flow statement: Interest; Categorizing interest in cash flow statement
lec15.pdf,Understanding the Cash Flow Statement,"Definition and necessity of a Cash Flow Statement; Differentiating between operating, investing, and financing cash flows; The concept of cash and cash equivalents; Exceptions in cash flow movements; The role of cash and cash equivalents in transactions"
lec6.pdf,Understanding the Balance Sheet,"Short form format of balance sheet; Detailed format of balance sheet under schedule III of Companies Act; Explanation of equities, liabilities, and shareholder’s funds; Discussion on share application money pending allotment and non-current liabilities; Classification and explanation of assets in a balance sheet."
lec28.pdf,Hindalco Case: Balance Sheet Analysis,Preparation and discussion of Hindalco's balance sheet; Analysis of non-current assets in the balance sheet; Understanding of fixed assets and their role in the balance sheet; Examination of financial assets and their impact on the balance sheet; Overview of current assets and their significance in the balance sheet
lec24.pdf,Recording Financial Transactions,"The three steps of accounting; Overview of journal and ledger entries; The process of journalizing entries; Understanding of balance sheet, P and L, and cash flow; Preparation of basic P and L and balance sheet."
lec11.pdf,Depreciation in Financial Accounting,Basics of financial statements; Understanding balance sheet and P&L; Depreciation and amortization in P&L and balance sheet; Valuation of inventory in financial accounting; Concept of conservatism in financial accounting
lec8.pdf,Profit and Loss Account in Financial Accounting,Understanding the balance sheet; Introduction to profit and loss account; Difference between profit and loss account and income statement; Components of profit and loss account: incomes and expenses; Format of profit and loss account
lec21.pdf,Corporate Governance: Enron Case,The principles and structure of corporate governance; Global models of governance; Background and bankruptcy story of Enron; Enron's business model and major shareholders; Impact of Enron's case on global governance mechanisms
lec23.pdf,Evolution of Accounting,Concepts and principles of standardized accounting; The concept of accounting period; The tradition of preparing chopadis in India; The significance of Lakshmi pooja in accounting; The use of financial instruments in ancient accounting
