Source File,Lecture Topic,Subtopics
Lec 07.pdf,Business Statistics and Data Analysis,Constructing Relative Frequency with Equal Intervals; Evaluating Distribution Appropriateness for Different Age Groups; Constructing Frequency and Relative Frequency Distributions; Using Intervals in Data Analysis; Understanding Histograms and Frequency Distributions
Lec 28.pdf,Confidence Intervals for Population Proportion,Calculation of interval estimate for population proportion; Distribution of the sample proportion; Confidence interval endpoints and their calculation; Practical examples of confidence intervals; Interpretation of confidence intervals
Lec 11.pdf,Business Statistics and Data Analysis,Locating Extreme Outliers: Z-Score; Shape of a Distribution; General Descriptive Stats Using Microsoft Excel; Numerical Descriptive Measures for a Population; Measures of Dispersion and Variance
Lec 17.pdf,Understanding the Poisson Distribution,Definition and Formula of Poisson Distribution; Practical Application: Calculating Arrivals at a Hospital; Using Poisson Probability Tables; Variance in Poisson Distribution; Poisson Distribution as an Approximation of Binomial Distribution
Lec 42.pdf,Hypothesis Testing in Fitness Training,Understanding Weight Loss Differences; Assumptions and Calculations in Hypothesis Testing; Two Population Proportions; Forming a Confidence Interval for the Difference; Hypothesis Tests for Two Population Proportions
Lec 24.pdf,Understanding Sampling Distribution and Probability,Application of the Central Limit Theorem; Calculation of Sampling Distribution; Probability of Sample Mean within a Range; Determining Sample Size for Specific Confidence Level; Interval Estimation for Sample Means
Lec 33.pdf,Hypothesis Testing in Statistics,Calculation of Z-statistics and Sample Mean; Understanding the Significance Level; Rejecting or Accepting the Null Hypothesis; Application of Hypothesis Testing in Real-World Scenarios; The p-Value Approach to Testing
Lec 46.pdf,Understanding One-Way ANOVA,"The Null Hypothesis in One-Way ANOVA; Partitioning the Variation: Total, Among-Group, and Within-Group; Calculation and Interpretation of Total Sum of Squares (SST); Calculation and Interpretation of Sum of Squares Among Groups (SSA); Calculation and Interpretation of Sum of Squares Within Groups (SSW)"
Lec 27.pdf,Confidence Intervals and Population Mean,Determining a 95% confidence interval for true mean resistance; Interpretation of confidence intervals; Example of confidence interval application in retail outlet location evaluation; Understanding the margin of error in confidence intervals; The role of standard deviation in confidence intervals
Lec 53.pdf,Analyzing Categorical Data with Chi-Square Tests,Understanding Binomial and Multinomial Distributions; Application of Chi-Square Goodness-of-Fit Test; Comparing Expected and Observed Frequencies with Chi-Square Test; Use of Chi-Square Test in Different Industries; Analyzing Probabilities of Multinomial Distribution Trials
Lec 21.pdf,-,
