Source File,Lecture Topic,Subtopics
lec16.pdf,The Human Development and Capability Approach,The growth of literature on human development; The role of theorists and practitioners in human development; Introduction to the paradigm of human development; Major concerns regarding the human development paradigm; Understanding Sen's capability approach.
lec23.pdf,Economic Growth and Development Overview,Basic concepts of economic growth and development; Structural features of developed and underdeveloped countries; Differences between the Global North and the Global South; Indices of economic development; Genesis of the term modern economic growth
lec15.pdf,Introduction to Human Development,The role of human development in economic growth; Different frameworks for understanding development; Case study on human development: China; Assumptions of growth economists and human development theorists; The experiences of developing countries in human development
lec6.pdf,Strategies of Economic Development and Growth,Overview of economic development and growth models; Professor Simon Kuznets' contribution to economic growth literature; Comparison of historical and contemporary growth rates; Impact of growth on worker productivity and standards of living; Population growth and per capita output growth rate in industrialized nations
lec19.pdf,Measuring Human Development Index,Evolution of Human Development Index computation; Impact of new variables on the significance of previous indicators; Sen's capability approach and its relation to human development; Presentation of results in Human Development Reports; Thematic structuring of different Human Development Reports
lec21.pdf,"Multidimensional Poverty, MDGs and SDGs",Different measures of poverty and human development; Introduction to the Multidimensional Poverty Index; The multiple dimensions of poverty and daily deprivations; Differences in perception of poverty between the poor and policymakers; The role of the United Nations Development Program in measuring multidimensional poverty
lec2.pdf,Structural Features of Developed and Underdeveloped Countries,"Country classification by the World Bank based on income criterion; Understanding the First, Second, and Third Worlds; Population and GDP distribution in developed and underdeveloped countries; Occupation and production structures in different countries; Social security arrangements in developed and underdeveloped countries"
lec11.pdf,Strategies of Economic Development & Growth,Understanding the Basic Solow Model; Role of Physical Capital Accumulation and Technology in Economic Growth; Technological Expansion and Progress in Economic Growth; Influence of Human Capital Formation on Economic Growth; Empirical Exercises and Theories of Economic Growth
lec8.pdf,Strategies of Economic Development & Growth,"Balanced Growth and Unbalanced Growth Models; Conceptual clarity on savings and investment; Marginal Private Cost, Marginal External Cost and the Marginal Social Cost; Contributions of Ragnar Nurkse, Rosenstein Rodan and Arthur Lewis to balanced growth doctrine; The problem of underdevelopment in Eastern and Southeastern European countries."
lec1.pdf,Concepts of Economic Growth,"Understanding differences in economic growth rates between countries; Inequality within a country: income, assets, and opportunities; Inequality across countries: level and rate of economic growth; System of national income accounts; Definitions and indicators of economic growth"
lec20.pdf,Other Human Development Indices,Understanding the Human Development Index; Components and Calculation of the Human Development Index; Introduction to Other Development Indices; The Gender Development Index and its Impact; Limitations of Gender-Neutral Development Policies
lec14.pdf,Measures of Inequality in Economic Development,Principles guiding the measure of inequality index; Understanding Lorenz Curve and Gini Coefficient; Distinction between inequality and poverty; Examination of living standards across different population groups; Misconceptions about poverty and inequality measures
lec18.pdf,Measuring Human Development,Defining successful development; Approaches to human development; The Capabilities Approach by Professor Amartya Sen; The Human Development Index; Dimensions and indicators of the Human Development Index
lec3.pdf,The Global North and Global South Divide,Limitations of using GDP as an indicator of development; The importance of valuing unpaid work in the economy; The environmental costs not accounted for in GDP estimates; Efforts to incorporate environmental damages in GDP valuation; Unaccounted factors in mainstream growth and development literature
lec13.pdf,Economic Growth and Public Support,"Overview of ""Hunger and Public Action"" by Jean Dreze and Amartya Sen; Importance of the book's publication year in economic research; Structure and content of ""Hunger and Public Action""; Concepts of entitlements and capabilities in economic growth; Understanding hunger and deprivation in the context of economic growth and development"
lec9.pdf,Strategies of Economic Development & Growth,Big Push Theory and the Critical Minimum Effort Thesis; Schumpeter’s Theory of Economic Development; Rostow’s Stages of Growth Theory; High development theories and economic transformation; The role of innovations and entrepreneurs in economic growth
lec17.pdf,"Utilitarianism, Basic Needs and Capability Approach",Dominant frameworks in evaluating economic policies; Introduction to the human development approach; Assumptions made by growth theorists; Concept of Capabilities Approach; Defining successful development.
lec5.pdf,Modern Economic Growth,The concept and proponents of modern economic growth; Importance of development over just growth; Competing indicators of development from the 1970s to 1990s; Human Development Report 1990 findings; The income gap between the Global North and South; The role of subsidies in economic growth and development.
lec7.pdf,Strategies of Economic Development and Growth,Trends in development thinking from 1900s to 1990s; Influence of Marx's writings on development thought; Shift from universal history to economic growth in the 1950s; Role of capital accumulation in economic growth; Influence of American sociologists and political scientists in the 1960s and 70s on development as modernization.
lec4.pdf,Growth versus Development: Indices of Economic Development,The debate: growth versus development; The impact of globalization on the Global North and South; The Bretton Woods paradigm and World Bank prescription; Backlash against globalization; The Human Development Report of 1990 and its implications
lec22.pdf,Gender Mainstreaming and Gender Budgeting,The concept of Gender Development Index; Importance of studying gender inequality; Introduction to the policy of gender mainstreaming; Instruments of gender mainstreaming; Concept and application of gender budgeting
lec12.pdf,Growth and Inequality in Economic Development,Understanding the concept of inequality in the post-globalization era; Different measures of inequality and their significance; The intrinsic and functional importance of inequality; The role of inequality in economic growth and development; Analysis of Branko Milanovic's research on global inequality
lec10.pdf,Strategies of Economic Development & Growth,"Balanced and Unbalanced Growth models; Schumpeter’s Analysis of Growth, Rostow’s Stages of Growth; Big Push Theory and the Critical Minimum Efforts Thesis; Harrod-Domar Growth Model; Rosenstein Rodan’s formulation of the Big Push Theory"
