Source File,Lecture Topic,Subtopics
lec28.pdf,Hindalco Case: Balance Sheet Analysis,Preparation and Discussion of Balance Sheet; Understanding Non-Current Assets; Analysis of Fixed Assets; Examination of Financial Assets; Overview of Current Assets
lec15.pdf,Cash Flow Statement in Financial Accounting,"Definition and Importance of Cash Flow Statement; Components of Cash Flow: Operating, Investing, and Financing; Understanding Cash and Cash Equivalents; Transactions Affecting Cash and Cash Equivalents; Exceptions in Cash Flow Statement"
lec6.pdf,Understanding the Balance Sheet,Overview of Balance Sheet Components; Discussion on Equities and Liabilities; Understanding Shareholder’s Funds; Explanation of Non-Current and Current Liabilities; Analysis of Non-Current and Current Assets
lec32.pdf,Analysis of Financial Statements: Shipping Corp. of India,Introduction to Financial Statement Analysis; Comparative and Common Size Statement Calculation; Horizontal Analysis and Comparative Statement Preparation; Interpretation of Revenue Changes; Overview of Shipping Corporation of India's Financial Status
lec16.pdf,Cash Flow Statement Analysis,Understanding operating activities in cash flow; Differentiating between direct and indirect methods; Investing and financing activities in cash flow; Unique items in cash flow: Interest; Categorizing activities in cash flow statement
lec24.pdf,Recording Financial Transactions,"Understanding the recording part of financial accounting; Overview of journal and ledger entries; Preparation of basic P and L and balance sheet; Introduction to journal, ledger and subsidiary books; Process of journalizing of entries."
lec21.pdf,Corporate Governance: Enron Case,Overview of Corporate Governance; The Enron Case: Background and Bankruptcy Story; Enron's Business Model and Operations; Role of Shareholders in Enron's Governance; Impact of Enron's Collapse on Global Governance Mechanisms
lec11.pdf,Depreciation in Financial Accounting,Introduction to Depreciation; Depreciation and its role in P and L and balance sheet; Valuation of inventory in financial accounting; Concept of conservatism in financial accounting; Detailed discussion on depreciation
lec23.pdf,Evolution of Accounting,Understanding the concept of accounting period; The tradition of preparing chopadis in India; The association of accounting with Lakshmi pooja and Diwali; The use of financial instruments in ancient accounting; The role of accounting in government and merchant record keeping
lec2.pdf,Understanding Financial Statements,Introduction to Accounting and its Various Streams; Concept and Explanation of Money Cycle; Understanding Profit and Loss Account; Explanation of Balance Sheet; Differentiation between Fixed and Current Assets
lec8.pdf,Profit and Loss Account in Financial Accounting,Understanding the balance sheet; Differences between profit and loss account and income statement; Profit and loss account for business entities and non-profit organizations; Calculation of profit: incomes and expenses; Major components and format of profit and loss account
lec19.pdf,Corporate Governance in Financial Accounting,Understanding the concept of Corporate Governance; The role of governance in managing a company; The structure and principles of Governance; The distribution of rights and responsibilities in a company; The role of shareholders in Corporate Governance
lec1.pdf,Introduction to Financial Accounting,Brief introduction about Prof. Varadraj Bapat; Overview of Financial Accounting and Financial Statements; Comparison between Financial and Cost Accounting; Relevance of the course for non-commerce students; Importance of financial expertise in career progression
lec20.pdf,Corporate Governance: Global Models,The basics of governance and its global principles; The Anglo-US model of corporate governance; Role and impact of the CEO in corporate governance; Importance of short-term actions in governance; The market for corporate takeovers in governance
lec25.pdf,Zee Case: Profit & Loss and Balance Sheet,Introduction to corporate governance and accounting standards; Preparation of balance sheet and profit & loss statement; Analysis and comparison of financial data from 2015 to 2017; Understanding the official sequence of financial statements; Overview of depreciation and amortization in the profit & loss account.
lec36.pdf,Financial Statement Analysis: TCS Case Study,Horizontal and Vertical Analysis of Financial Statements; Calculation and Interpretation of Financial Ratios; Importance of Ratios for Stakeholders; Overview of TCS Limited's Financials; Understanding Market Capitalization and Trading Volume
lec31.pdf,Ratio Analysis and Interpretation in Financial Accounting,Analysis and Interpretation of Financial Statements; Understanding Liquidity Ratios and their Importance; The Role of Capital Structure in Ratio Analysis; The Impact of Debt on Company Stability and Profitability; Horizontal and Vertical Analysis in Financial Accounting
lec18.pdf,Cash Flow Statement Preparation,Review of Case Number 2 of Cash Flow Statement; Understanding Profit or Loss Account for Keshav Limited; Analyzing Balance Sheet: Opening and Closing Balances; Marking Items on Balance Sheet for Cash Flow Preparation; Understanding the Role of P and L Items in Cash Flow Statement
lec27.pdf,Hindalco Case: Profit & Loss and Balance Sheet,Understanding financial statements; Preparation of financial statements for Hindalco Limited; Understanding the terminology of financial statements; Sequencing the financial data based on the format; Discussion on deferred tax and other comprehensive income.
lec13.pdf,Inventory Valuation in Financial Accounting,"Definition and Understanding of Inventory; Types of Inventory: Raw Material, Work in Progress, Finished Goods; Inventory for Manufacturing vs Trading Concerns; Inventory of Spare Parts; Distinction between Inventory and Fixed Assets"
lec35.pdf,Interpretation and Analysis of Financial Statements,Analysis of the Shipping Corporation Case; Calculation of Balance Sheet Ratios; Calculation of Profitability Ratios; Calculation of Return and Activity Related Ratios; Understanding Return on Equity (ROE) and Return on Investment (ROI)
lec14.pdf,Cash Flow Statement,Importance of Financial Statements; Limitations of Traditional Financial Statements; Need for Cash Flow Statement; Generation and Utilization of Cash; Summary of Movement of Cash in a Period
lec33.pdf,Analysis of Financial Statements: Shipping Corp. of India,Horizontal and Vertical Analysis of Financial Statements; Calculation and Preparation of Comparative Statements; Understanding and Creating Common Size Statements; Conversion of Financial Values into Percentage for Analysis; Calculation of Operating and Direct Expenses as a Percentage of Revenue
lec26.pdf,Zee Case: Balance Sheet Preparation,Review of the Profit and Loss Account; Calculation of Debt Equity Ratio; Classification of Balance Sheet Items; Handling of Contingent Liabilities and Assets; Valuation of Current Investments
lec30.pdf,Ratio Analysis and Interpretation in Financial Accounting,Understanding the Importance of Ratio Analysis; Different Types of Ratios and Their Applications; Calculation and Interpretation of Net Profit Ratio; Liquidity and Capital Structure Ratios; Understanding and Calculating Current Ratio
lec3.pdf,Understanding the Balance Sheet,Distinction between financial cost and management accounting; Basic format of a Balance Sheet; Understanding the annual report; Elements of a Balance Sheet; Preparation and interpretation of financial statements
lec38.pdf,Financial Statement Analysis: RIL Case 1,"Fundamental vs Technical Analysis; Components of Fundamental Analysis: Company, Industry, Economy; Overview of Reliance Industries Limited; Shareholding Pattern of Reliance Industries Limited; Financial Ratios and Company Analysis"
lec34.pdf,Analysis of Financial Statements: Shipping Corp. Case Study,Horizontal Analysis: Preparing a Comparative Statement; Vertical Analysis: Preparing a Common Size Statement; Trend Analysis: Calculating Cumulative Growth Rates; Comparing Financial Statements Across Competitors; Using Online Resources for Financial Data Analysis
lec37.pdf,Financial Statement Analysis: TCS Case 2,Analysis of TCS Limited's financial statements; Calculation and interpretation of basic ratios; Analysis of combined ratios; Understanding the formula for Exports to Sales ratio; Understanding the importance of the net working capital to sales ratio.
lec9.pdf,Preparing a Basic Profit and Loss Account,Understanding the basic format of income statement; Identification of incomes and expenses in a Profit and Loss Account; Calculation of operating profit (EBIT or PBIT); Deduction of interest to calculate profit before tax (EBT); Significance of separating interest deduction in financial statements
lec39.pdf,Financial Statement Analysis: RIL Case 2,Analysis of net working capital to sales ratio; Evaluation of sales per share over time; Understanding of Earnings Per Share (EPS); Calculation and interpretation of Dividend Per Share; Concept and calculation of Dividend Yield
lec5.pdf,Preparing a Balance Sheet,"Role and Importance of Balance Sheet; Understanding Assets and Liabilities; Classification of Balance Sheet Items; Preparing a Balance Sheet from Given Balances; Understanding Capital, Drawings, and Net Profit in a Balance Sheet"
lec29.pdf,Interpretation and Analysis of Financial Statements,Different users of financial statements; Techniques used for analysis and interpretation of the statements; Reading and understanding the annual report; Conversion of raw data into relevant information; Types of analysis: Horizontal analysis and other types
lec22.pdf,Accounting Standards and Principles,Definition and Importance of Accounting Principles; Understanding Accounting Concepts; The Business Entity Concept in Accounting; Dual Aspect and Balance Sheet Equation; The Cost Concept and Asset Valuation; The Going Concern Assumption in Accounting
lec4.pdf,Understanding the Balance Sheet,Introduction to financial accounting; Overview of balance sheet formats; Assets and liabilities in a balance sheet; Understanding schedule VI under companies act; Analyzing a company's balance sheet
lec17.pdf,Cash Flow Statement Analysis,Understanding the cash flow statement; Calculating cash flow from operations; Cash flows from investing activities; Cash flows from financing activities; Preparing a cash flow statement case study
lec7.pdf,Understanding the Balance Sheet,Definition and Importance of Assets; Different Types of Assets: Noncurrent and Current; Examples of Tangible and Intangible Assets; Understanding Liabilities and Owners Funds; The Role of Profit and Loss Account in Balance Sheet
lec12.pdf,Understanding Depreciation in Financial Accounting,Concept of conservatism in accounting; Valuation of stock and depreciation; Definition and nature of depreciation; Reasons for depreciation; Methods of calculating depreciation
lec40.pdf,Financial Accounting Revision,Understanding the importance of accounting; The role of accounting in different sectors; The concept of financial statements; The process of recording and summarizing transactions; The structure and purpose of a balance sheet.
lec10.pdf,Understanding the Profit and Loss Account,The nature and purpose of the Profit and Loss account; The income and expense parts of the Profit and Loss account; The six categories of expenses in the Profit and Loss account; The concept of change in inventory as an expense; The role of financial cost in the Profit and Loss account
