Source File,Lecture Topic,Subtopics,Best Match Syllabus Topic,Semantic Match Score (%),Keyword Match Score (%)
lec32.pdf,Interpretation and Analysis of Financial Statements,Introduction to Financial Statement Analysis; Comparative and Common Size Statement Calculation; Horizontal Analysis and Comparative Statement Preparation; Case Study: Shipping Corporation of India; Revenue and Expense Analysis for Financial Statements,1 Financial Accounting,87.83,22.22
lec16.pdf,Cash Flow Statement Analysis,Understanding operating activities in cash flow; Investing activities in cash flow statement; Financing activities in the cash flow statement; Unique items in cash flow statement: Interest; Categorizing interest in cash flow statement,Paper I : Financial Accounting,83.99,0.0
lec15.pdf,Understanding the Cash Flow Statement,"Definition and necessity of a Cash Flow Statement; Differentiating between operating, investing, and financing cash flows; The concept of cash and cash equivalents; Exceptions in cash flow movements; The role of cash and cash equivalents in transactions",Paper I : Financial Accounting,82.99,13.33
lec6.pdf,Understanding the Balance Sheet,"Short form format of balance sheet; Detailed format of balance sheet under schedule III of Companies Act; Explanation of equities, liabilities, and shareholder’s funds; Discussion on share application money pending allotment and non-current liabilities; Classification and explanation of assets in a balance sheet.",Paper I : Financial Accounting,84.61,14.29
lec28.pdf,Hindalco Case: Balance Sheet Analysis,Preparation and discussion of Hindalco's balance sheet; Analysis of non-current assets in the balance sheet; Understanding of fixed assets and their role in the balance sheet; Examination of financial assets and their impact on the balance sheet; Overview of current assets and their significance in the balance sheet,Paper I : Financial Accounting,81.18,0.0
lec24.pdf,Recording Financial Transactions,"The three steps of accounting; Overview of journal and ledger entries; The process of journalizing entries; Understanding of balance sheet, P and L, and cash flow; Preparation of basic P and L and balance sheet.",1 Financial Accounting,84.87,20.0
lec11.pdf,Depreciation in Financial Accounting,Basics of financial statements; Understanding balance sheet and P&L; Depreciation and amortization in P&L and balance sheet; Valuation of inventory in financial accounting; Concept of conservatism in financial accounting,1 Financial Accounting,87.84,40.0
lec8.pdf,Profit and Loss Account in Financial Accounting,Understanding the balance sheet; Introduction to profit and loss account; Difference between profit and loss account and income statement; Components of profit and loss account: incomes and expenses; Format of profit and loss account,1 Financial Accounting,87.58,25.0
lec21.pdf,Corporate Governance: Enron Case,The principles and structure of corporate governance; Global models of governance; Background and bankruptcy story of Enron; Enron's business model and major shareholders; Impact of Enron's case on global governance mechanisms,Company Law and Secretarial Practice,82.31,6.67
lec23.pdf,Evolution of Accounting,Concepts and principles of standardized accounting; The concept of accounting period; The tradition of preparing chopadis in India; The significance of Lakshmi pooja in accounting; The use of financial instruments in ancient accounting,1 Financial Accounting,86.31,25.0
lec2.pdf,Understanding Financial Statements,Introduction to Financial Accounting; Understanding the Money Cycle; Understanding Profit and Loss Account; Overview of Balance Sheet; Differentiating between Fixed and Current Assets,1 Financial Accounting,89.77,20.0
lec19.pdf,Corporate Governance in Financial Accounting,"Understanding the concept of Corporate Governance; The role of Corporate Governance in companies; Mechanisms, processes and relationships in Corporate Governance; Governance structures and principles; Distribution of rights and responsibilities in a company",1 Financial Accounting,87.57,33.33
lec1.pdf,Introduction to Financial Accounting,Brief introduction about Prof. Varadraj Bapat; Overview of the course on Financial Accounting; Comparison between financial and cost accounting; Importance of financial accounting for non-commerce students; Discussion on financial statements,1 Financial Accounting,92.71,40.0
lec20.pdf,Corporate Governance: Global Models,The importance of governance in corporations; Overview of the Anglo-US model of corporate governance; Role and responsibilities of the CEO in corporate governance; Impact of CEO performance on stock market; Importance of short-term actions in corporate governance,5 Institutional Framework for Business,82.78,6.67
