Source File,Lecture Topic,Subtopics
lec32.pdf,Interpretation and Analysis of Financial Statements,Introduction to Financial Statement Analysis; Comparative and Common Size Statement Calculation; Horizontal Analysis and Comparative Statement Preparation; Case Study: Shipping Corporation of India; Understanding Decrease in Revenue from Operations
lec15.pdf,Cash Flow Statement in Financial Accounting,"Definition and Purpose of a Cash Flow Statement; Understanding the Three Heads: Operating, Investing, Financing; Concept of Cash and Cash Equivalent; Movement of Cash and Exceptions in Cash Flow; Role of Cash Flow Statement in Financial Position Analysis"
lec6.pdf,Understanding the Balance Sheet,"Review of balance sheet format; Discussion on equities, liabilities, and shareholder's funds; Explanation of share application money pending allotment and non-current liabilities; Overview of assets, including non-current and current assets; Examination of the elements of a balance sheet: assets, external liabilities, and owner's funds."
lec28.pdf,Hindalco Case: Balance Sheet and Cash Flow Statement,Preparation of Hindalco's balance sheet; Understanding of Non-Current Assets (NCA) and Current Assets (CA); Analysis of fixed assets in the balance sheet; Examination of financial assets in the balance sheet; Discussion on non-current tax assets and other non-current assets.
lec16.pdf,Cash Flow Statement Analysis,"Understanding the three categories of cash flow statement: operating, investing, and financing; Differentiating between direct and indirect methods of calculating operating activities; Examining investing activities related to fixed assets or investments; Discussing examples of financing activities and their impact on cash flow; Analyzing unique items and exceptions in cash flow statements."
lec24.pdf,Recording Financial Transactions,"Understanding the sequence of accounting; Overview of journal and ledger entries; Basic transactions and their summaries; Preparation of P and L and balance sheet; Journal, ledger and subsidiary books as major books of accounts."
lec23.pdf,Evolution of Accounting,Concepts and principles of accounting; Accounting period concept and its cultural significance; Traditional accounting practices in India; Introduction of financial instruments in accounting; The role of festivals in accounting periods
lec21.pdf,Corporate Governance: Enron Case,Major principles of governance; Global models of governance; Background and story of Enron's bankruptcy; Enron's business model and stakeholder structure; Impact of Enron's case on global governance mechanisms
lec8.pdf,Profit and Loss Account in Financial Accounting,Understanding the balance sheet; Introduction to profit and loss account; Different names for profit and loss account in various contexts; Elements of a profit and loss account; Major components of a profit and loss account
lec11.pdf,Depreciation in Financial Accounting,Introduction to financial statements; Understanding balance sheet and P&L; Concept of depreciation and its appearance in P&L and balance sheet; Valuation of inventory in financial accounting; Concept of conservatism in financial accounting
lec2.pdf,Understanding Financial Statements,"Introduction to Financial Accounting; The Money Cycle in Accounting; Differentiation between Financial, Cost, and Management Accounting; Understanding Profit and Loss Account; Understanding Balance Sheet: Assets and Liabilities"
lec19.pdf,Corporate Governance in Financial Accounting,"Understanding the Concept of Corporate Governance; Importance of Corporate Governance in Business; Mechanisms, Processes, and Relationships in Governance; Governance Structures and Principles; Role and Responsibilities of Shareholders in Corporate Governance"
lec1.pdf,Introduction to Financial Accounting,Brief Introduction of Prof. Varadraj Bapat; Overview of Financial Accounting and Financial Statements; Comparison between Financial and Cost Accounting; Importance of Accounting for Non-commerce Students; Role of Financial Expertise in Career Advancement
lec25.pdf,Zee Case: Profit & Loss and Balance Sheet,Understanding corporate governance and accounting standards; Preparing a balance sheet and profit & loss statement; Analyzing and comparing financial data over three years; Introduction to financial statement analysis; Understanding depreciation and amortization in P&L accounts
